rank,count,frequency,subset,approach
56,106,0.5170731707317073,train,after-conv13-msr
57,108,0.526829268292683,train,after-conv13-msr
58,111,0.5414634146341464,train,after-conv13-msr
59,111,0.5414634146341464,train,after-conv13-msr
60,111,0.5414634146341464,train,after-conv13-msr
61,111,0.5414634146341464,train,after-conv13-msr
62,111,0.5414634146341464,train,after-conv13-msr
63,111,0.5414634146341464,train,after-conv13-msr
64,111,0.5414634146341464,train,after-conv13-msr
65,111,0.5414634146341464,train,after-conv13-msr
66,113,0.551219512195122,train,after-conv13-msr
67,115,0.5609756097560976,train,after-conv13-msr
68,115,0.5609756097560976,train,after-conv13-msr
69,115,0.5609756097560976,train,after-conv13-msr
70,116,0.5658536585365853,train,after-conv13-msr
71,117,0.5707317073170731,train,after-conv13-msr
72,118,0.5756097560975609,train,after-conv13-msr
73,119,0.5804878048780487,train,after-conv13-msr
74,119,0.5804878048780487,train,after-conv13-msr
75,119,0.5804878048780487,train,after-conv13-msr
76,120,0.5853658536585366,train,after-conv13-msr
77,121,0.5902439024390244,train,after-conv13-msr
78,121,0.5902439024390244,train,after-conv13-msr
79,121,0.5902439024390244,train,after-conv13-msr
80,121,0.5902439024390244,train,after-conv13-msr
81,121,0.5902439024390244,train,after-conv13-msr
82,122,0.5951219512195122,train,after-conv13-msr
83,122,0.5951219512195122,train,after-conv13-msr
84,122,0.5951219512195122,train,after-conv13-msr
85,123,0.6,train,after-conv13-msr
86,124,0.6048780487804878,train,after-conv13-msr
87,126,0.6146341463414634,train,after-conv13-msr
88,126,0.6146341463414634,train,after-conv13-msr
89,127,0.6195121951219512,train,after-conv13-msr
90,127,0.6195121951219512,train,after-conv13-msr
91,127,0.6195121951219512,train,after-conv13-msr
92,127,0.6195121951219512,train,after-conv13-msr
93,128,0.624390243902439,train,after-conv13-msr
94,128,0.624390243902439,train,after-conv13-msr
95,128,0.624390243902439,train,after-conv13-msr
96,129,0.6292682926829268,train,after-conv13-msr
97,129,0.6292682926829268,train,after-conv13-msr
98,131,0.6390243902439025,train,after-conv13-msr
99,131,0.6390243902439025,train,after-conv13-msr
100,132,0.6439024390243903,train,after-conv13-msr
101,133,0.6487804878048781,train,after-conv13-msr
102,133,0.6487804878048781,train,after-conv13-msr
103,133,0.6487804878048781,train,after-conv13-msr
104,133,0.6487804878048781,train,after-conv13-msr
105,133,0.6487804878048781,train,after-conv13-msr
106,135,0.6585365853658537,train,after-conv13-msr
107,135,0.6585365853658537,train,after-conv13-msr
108,135,0.6585365853658537,train,after-conv13-msr
109,135,0.6585365853658537,train,after-conv13-msr
110,135,0.6585365853658537,train,after-conv13-msr
111,135,0.6585365853658537,train,after-conv13-msr
112,135,0.6585365853658537,train,after-conv13-msr
113,136,0.6634146341463415,train,after-conv13-msr
114,136,0.6634146341463415,train,after-conv13-msr
115,136,0.6634146341463415,train,after-conv13-msr
116,137,0.6682926829268293,train,after-conv13-msr
117,138,0.6731707317073171,train,after-conv13-msr
118,139,0.6780487804878049,train,after-conv13-msr
119,140,0.6829268292682927,train,after-conv13-msr
120,141,0.6878048780487804,train,after-conv13-msr
121,142,0.6926829268292682,train,after-conv13-msr
122,143,0.697560975609756,train,after-conv13-msr
123,143,0.697560975609756,train,after-conv13-msr
124,145,0.7073170731707317,train,after-conv13-msr
125,146,0.7121951219512195,train,after-conv13-msr
126,146,0.7121951219512195,train,after-conv13-msr
127,146,0.7121951219512195,train,after-conv13-msr
128,148,0.7219512195121951,train,after-conv13-msr
129,148,0.7219512195121951,train,after-conv13-msr
130,148,0.7219512195121951,train,after-conv13-msr
131,148,0.7219512195121951,train,after-conv13-msr
132,148,0.7219512195121951,train,after-conv13-msr
133,148,0.7219512195121951,train,after-conv13-msr
134,148,0.7219512195121951,train,after-conv13-msr
135,148,0.7219512195121951,train,after-conv13-msr
136,148,0.7219512195121951,train,after-conv13-msr
137,148,0.7219512195121951,train,after-conv13-msr
138,148,0.7219512195121951,train,after-conv13-msr
139,148,0.7219512195121951,train,after-conv13-msr
140,149,0.7268292682926829,train,after-conv13-msr
141,149,0.7268292682926829,train,after-conv13-msr
142,149,0.7268292682926829,train,after-conv13-msr
143,149,0.7268292682926829,train,after-conv13-msr
144,151,0.7365853658536585,train,after-conv13-msr
145,151,0.7365853658536585,train,after-conv13-msr
146,151,0.7365853658536585,train,after-conv13-msr
147,151,0.7365853658536585,train,after-conv13-msr
148,151,0.7365853658536585,train,after-conv13-msr
149,153,0.7463414634146341,train,after-conv13-msr
150,153,0.7463414634146341,train,after-conv13-msr
151,154,0.751219512195122,train,after-conv13-msr
152,154,0.751219512195122,train,after-conv13-msr
153,155,0.7560975609756098,train,after-conv13-msr
154,155,0.7560975609756098,train,after-conv13-msr
155,155,0.7560975609756098,train,after-conv13-msr
156,155,0.7560975609756098,train,after-conv13-msr
157,155,0.7560975609756098,train,after-conv13-msr
158,155,0.7560975609756098,train,after-conv13-msr
159,155,0.7560975609756098,train,after-conv13-msr
160,155,0.7560975609756098,train,after-conv13-msr
161,156,0.7609756097560976,train,after-conv13-msr
162,156,0.7609756097560976,train,after-conv13-msr
163,156,0.7609756097560976,train,after-conv13-msr
164,157,0.7658536585365854,train,after-conv13-msr
165,158,0.7707317073170732,train,after-conv13-msr
166,158,0.7707317073170732,train,after-conv13-msr
167,158,0.7707317073170732,train,after-conv13-msr
168,158,0.7707317073170732,train,after-conv13-msr
169,159,0.775609756097561,train,after-conv13-msr
170,159,0.775609756097561,train,after-conv13-msr
171,160,0.7804878048780488,train,after-conv13-msr
172,160,0.7804878048780488,train,after-conv13-msr
173,160,0.7804878048780488,train,after-conv13-msr
174,160,0.7804878048780488,train,after-conv13-msr
175,161,0.7853658536585366,train,after-conv13-msr
176,161,0.7853658536585366,train,after-conv13-msr
177,161,0.7853658536585366,train,after-conv13-msr
178,162,0.7902439024390244,train,after-conv13-msr
179,162,0.7902439024390244,train,after-conv13-msr
180,162,0.7902439024390244,train,after-conv13-msr
181,162,0.7902439024390244,train,after-conv13-msr
182,163,0.7951219512195122,train,after-conv13-msr
183,163,0.7951219512195122,train,after-conv13-msr
184,163,0.7951219512195122,train,after-conv13-msr
185,163,0.7951219512195122,train,after-conv13-msr
186,163,0.7951219512195122,train,after-conv13-msr
187,163,0.7951219512195122,train,after-conv13-msr
188,163,0.7951219512195122,train,after-conv13-msr
189,163,0.7951219512195122,train,after-conv13-msr
190,163,0.7951219512195122,train,after-conv13-msr
191,163,0.7951219512195122,train,after-conv13-msr
192,163,0.7951219512195122,train,after-conv13-msr
193,164,0.8,train,after-conv13-msr
194,164,0.8,train,after-conv13-msr
195,164,0.8,train,after-conv13-msr
196,164,0.8,train,after-conv13-msr
197,164,0.8,train,after-conv13-msr
198,164,0.8,train,after-conv13-msr
199,166,0.8097560975609757,train,after-conv13-msr
200,166,0.8097560975609757,train,after-conv13-msr
201,166,0.8097560975609757,train,after-conv13-msr
202,166,0.8097560975609757,train,after-conv13-msr
203,166,0.8097560975609757,train,after-conv13-msr
204,166,0.8097560975609757,train,after-conv13-msr
205,167,0.8146341463414634,train,after-conv13-msr
206,167,0.8146341463414634,train,after-conv13-msr
207,168,0.8195121951219512,train,after-conv13-msr
208,168,0.8195121951219512,train,after-conv13-msr
209,168,0.8195121951219512,train,after-conv13-msr
210,168,0.8195121951219512,train,after-conv13-msr
211,168,0.8195121951219512,train,after-conv13-msr
212,169,0.824390243902439,train,after-conv13-msr
213,169,0.824390243902439,train,after-conv13-msr
214,169,0.824390243902439,train,after-conv13-msr
215,169,0.824390243902439,train,after-conv13-msr
216,169,0.824390243902439,train,after-conv13-msr
217,169,0.824390243902439,train,after-conv13-msr
218,170,0.8292682926829268,train,after-conv13-msr
219,170,0.8292682926829268,train,after-conv13-msr
220,171,0.8341463414634146,train,after-conv13-msr
221,172,0.8390243902439024,train,after-conv13-msr
222,172,0.8390243902439024,train,after-conv13-msr
223,172,0.8390243902439024,train,after-conv13-msr
224,172,0.8390243902439024,train,after-conv13-msr
225,172,0.8390243902439024,train,after-conv13-msr
226,173,0.8439024390243902,train,after-conv13-msr
227,173,0.8439024390243902,train,after-conv13-msr
228,173,0.8439024390243902,train,after-conv13-msr
229,173,0.8439024390243902,train,after-conv13-msr
230,173,0.8439024390243902,train,after-conv13-msr
231,173,0.8439024390243902,train,after-conv13-msr
232,173,0.8439024390243902,train,after-conv13-msr
233,174,0.848780487804878,train,after-conv13-msr
234,174,0.848780487804878,train,after-conv13-msr
235,174,0.848780487804878,train,after-conv13-msr
236,174,0.848780487804878,train,after-conv13-msr
237,174,0.848780487804878,train,after-conv13-msr
238,174,0.848780487804878,train,after-conv13-msr
239,174,0.848780487804878,train,after-conv13-msr
240,174,0.848780487804878,train,after-conv13-msr
241,175,0.8536585365853658,train,after-conv13-msr
242,175,0.8536585365853658,train,after-conv13-msr
243,175,0.8536585365853658,train,after-conv13-msr
244,175,0.8536585365853658,train,after-conv13-msr
245,175,0.8536585365853658,train,after-conv13-msr
246,175,0.8536585365853658,train,after-conv13-msr
247,175,0.8536585365853658,train,after-conv13-msr
248,175,0.8536585365853658,train,after-conv13-msr
249,175,0.8536585365853658,train,after-conv13-msr
250,175,0.8536585365853658,train,after-conv13-msr
251,175,0.8536585365853658,train,after-conv13-msr
252,175,0.8536585365853658,train,after-conv13-msr
253,175,0.8536585365853658,train,after-conv13-msr
254,176,0.8585365853658536,train,after-conv13-msr
255,176,0.8585365853658536,train,after-conv13-msr
256,176,0.8585365853658536,train,after-conv13-msr
257,176,0.8585365853658536,train,after-conv13-msr
258,177,0.8634146341463415,train,after-conv13-msr
259,177,0.8634146341463415,train,after-conv13-msr
260,177,0.8634146341463415,train,after-conv13-msr
261,177,0.8634146341463415,train,after-conv13-msr
262,178,0.8682926829268293,train,after-conv13-msr
263,178,0.8682926829268293,train,after-conv13-msr
264,178,0.8682926829268293,train,after-conv13-msr
265,178,0.8682926829268293,train,after-conv13-msr
266,178,0.8682926829268293,train,after-conv13-msr
267,178,0.8682926829268293,train,after-conv13-msr
268,178,0.8682926829268293,train,after-conv13-msr
269,178,0.8682926829268293,train,after-conv13-msr
270,179,0.8731707317073171,train,after-conv13-msr
271,179,0.8731707317073171,train,after-conv13-msr
272,179,0.8731707317073171,train,after-conv13-msr
273,179,0.8731707317073171,train,after-conv13-msr
274,179,0.8731707317073171,train,after-conv13-msr
275,179,0.8731707317073171,train,after-conv13-msr
276,179,0.8731707317073171,train,after-conv13-msr
277,179,0.8731707317073171,train,after-conv13-msr
278,180,0.8780487804878049,train,after-conv13-msr
279,181,0.8829268292682927,train,after-conv13-msr
280,181,0.8829268292682927,train,after-conv13-msr
281,181,0.8829268292682927,train,after-conv13-msr
282,181,0.8829268292682927,train,after-conv13-msr
283,182,0.8878048780487805,train,after-conv13-msr
284,182,0.8878048780487805,train,after-conv13-msr
285,183,0.8926829268292683,train,after-conv13-msr
286,183,0.8926829268292683,train,after-conv13-msr
287,183,0.8926829268292683,train,after-conv13-msr
288,184,0.8975609756097561,train,after-conv13-msr
289,184,0.8975609756097561,train,after-conv13-msr
290,184,0.8975609756097561,train,after-conv13-msr
291,184,0.8975609756097561,train,after-conv13-msr
292,184,0.8975609756097561,train,after-conv13-msr
293,184,0.8975609756097561,train,after-conv13-msr
294,184,0.8975609756097561,train,after-conv13-msr
295,185,0.9024390243902439,train,after-conv13-msr
296,185,0.9024390243902439,train,after-conv13-msr
297,187,0.9121951219512195,train,after-conv13-msr
298,188,0.9170731707317074,train,after-conv13-msr
299,189,0.9219512195121952,train,after-conv13-msr
300,189,0.9219512195121952,train,after-conv13-msr
301,189,0.9219512195121952,train,after-conv13-msr
302,189,0.9219512195121952,train,after-conv13-msr
303,189,0.9219512195121952,train,after-conv13-msr
304,189,0.9219512195121952,train,after-conv13-msr
305,189,0.9219512195121952,train,after-conv13-msr
306,189,0.9219512195121952,train,after-conv13-msr
307,190,0.926829268292683,train,after-conv13-msr
308,190,0.926829268292683,train,after-conv13-msr
309,191,0.9317073170731708,train,after-conv13-msr
310,191,0.9317073170731708,train,after-conv13-msr
311,191,0.9317073170731708,train,after-conv13-msr
312,192,0.9365853658536586,train,after-conv13-msr
313,192,0.9365853658536586,train,after-conv13-msr
314,192,0.9365853658536586,train,after-conv13-msr
315,192,0.9365853658536586,train,after-conv13-msr
316,192,0.9365853658536586,train,after-conv13-msr
317,192,0.9365853658536586,train,after-conv13-msr
318,193,0.9414634146341463,train,after-conv13-msr
319,193,0.9414634146341463,train,after-conv13-msr
320,193,0.9414634146341463,train,after-conv13-msr
321,193,0.9414634146341463,train,after-conv13-msr
322,193,0.9414634146341463,train,after-conv13-msr
323,193,0.9414634146341463,train,after-conv13-msr
324,193,0.9414634146341463,train,after-conv13-msr
325,194,0.9463414634146341,train,after-conv13-msr
326,194,0.9463414634146341,train,after-conv13-msr
327,194,0.9463414634146341,train,after-conv13-msr
328,194,0.9463414634146341,train,after-conv13-msr
329,195,0.9512195121951219,train,after-conv13-msr
330,196,0.9560975609756097,train,after-conv13-msr
331,197,0.9609756097560975,train,after-conv13-msr
332,197,0.9609756097560975,train,after-conv13-msr
333,197,0.9609756097560975,train,after-conv13-msr
334,198,0.9658536585365853,train,after-conv13-msr
335,199,0.9707317073170731,train,after-conv13-msr
336,199,0.9707317073170731,train,after-conv13-msr
337,199,0.9707317073170731,train,after-conv13-msr
338,199,0.9707317073170731,train,after-conv13-msr
339,199,0.9707317073170731,train,after-conv13-msr
340,199,0.9707317073170731,train,after-conv13-msr
341,199,0.9707317073170731,train,after-conv13-msr
342,199,0.9707317073170731,train,after-conv13-msr
343,199,0.9707317073170731,train,after-conv13-msr
344,199,0.9707317073170731,train,after-conv13-msr
345,199,0.9707317073170731,train,after-conv13-msr
346,199,0.9707317073170731,train,after-conv13-msr
347,199,0.9707317073170731,train,after-conv13-msr
348,199,0.9707317073170731,train,after-conv13-msr
349,199,0.9707317073170731,train,after-conv13-msr
350,199,0.9707317073170731,train,after-conv13-msr
351,199,0.9707317073170731,train,after-conv13-msr
352,199,0.9707317073170731,train,after-conv13-msr
353,199,0.9707317073170731,train,after-conv13-msr
354,200,0.975609756097561,train,after-conv13-msr
355,200,0.975609756097561,train,after-conv13-msr
356,200,0.975609756097561,train,after-conv13-msr
357,200,0.975609756097561,train,after-conv13-msr
358,200,0.975609756097561,train,after-conv13-msr
359,200,0.975609756097561,train,after-conv13-msr
360,200,0.975609756097561,train,after-conv13-msr
361,200,0.975609756097561,train,after-conv13-msr
362,201,0.9804878048780488,train,after-conv13-msr
363,201,0.9804878048780488,train,after-conv13-msr
364,201,0.9804878048780488,train,after-conv13-msr
365,201,0.9804878048780488,train,after-conv13-msr
366,201,0.9804878048780488,train,after-conv13-msr
367,201,0.9804878048780488,train,after-conv13-msr
368,202,0.9853658536585366,train,after-conv13-msr
369,202,0.9853658536585366,train,after-conv13-msr
370,202,0.9853658536585366,train,after-conv13-msr
371,202,0.9853658536585366,train,after-conv13-msr
372,202,0.9853658536585366,train,after-conv13-msr
373,202,0.9853658536585366,train,after-conv13-msr
374,202,0.9853658536585366,train,after-conv13-msr
375,202,0.9853658536585366,train,after-conv13-msr
376,202,0.9853658536585366,train,after-conv13-msr
377,202,0.9853658536585366,train,after-conv13-msr
378,202,0.9853658536585366,train,after-conv13-msr
379,202,0.9853658536585366,train,after-conv13-msr
380,202,0.9853658536585366,train,after-conv13-msr
381,203,0.9902439024390244,train,after-conv13-msr
382,203,0.9902439024390244,train,after-conv13-msr
383,203,0.9902439024390244,train,after-conv13-msr
384,203,0.9902439024390244,train,after-conv13-msr
385,203,0.9902439024390244,train,after-conv13-msr
386,203,0.9902439024390244,train,after-conv13-msr
387,203,0.9902439024390244,train,after-conv13-msr
388,203,0.9902439024390244,train,after-conv13-msr
389,203,0.9902439024390244,train,after-conv13-msr
390,203,0.9902439024390244,train,after-conv13-msr
391,203,0.9902439024390244,train,after-conv13-msr
392,203,0.9902439024390244,train,after-conv13-msr
393,203,0.9902439024390244,train,after-conv13-msr
394,203,0.9902439024390244,train,after-conv13-msr
395,203,0.9902439024390244,train,after-conv13-msr
396,203,0.9902439024390244,train,after-conv13-msr
397,204,0.9951219512195122,train,after-conv13-msr
398,204,0.9951219512195122,train,after-conv13-msr
399,204,0.9951219512195122,train,after-conv13-msr
400,204,0.9951219512195122,train,after-conv13-msr
401,204,0.9951219512195122,train,after-conv13-msr
402,204,0.9951219512195122,train,after-conv13-msr
403,204,0.9951219512195122,train,after-conv13-msr
404,204,0.9951219512195122,train,after-conv13-msr
405,204,0.9951219512195122,train,after-conv13-msr
406,204,0.9951219512195122,train,after-conv13-msr
407,204,0.9951219512195122,train,after-conv13-msr
408,204,0.9951219512195122,train,after-conv13-msr
409,204,0.9951219512195122,train,after-conv13-msr
410,204,0.9951219512195122,train,after-conv13-msr
411,204,0.9951219512195122,train,after-conv13-msr
412,204,0.9951219512195122,train,after-conv13-msr
413,205,1.0,train,after-conv13-msr
414,205,1.0,train,after-conv13-msr
415,205,1.0,train,after-conv13-msr
416,205,1.0,train,after-conv13-msr
417,205,1.0,train,after-conv13-msr
418,205,1.0,train,after-conv13-msr
419,205,1.0,train,after-conv13-msr
420,205,1.0,train,after-conv13-msr
421,205,1.0,train,after-conv13-msr
422,205,1.0,train,after-conv13-msr
423,205,1.0,train,after-conv13-msr
424,205,1.0,train,after-conv13-msr
425,205,1.0,train,after-conv13-msr
426,205,1.0,train,after-conv13-msr
427,205,1.0,train,after-conv13-msr
428,205,1.0,train,after-conv13-msr
429,205,1.0,train,after-conv13-msr
430,205,1.0,train,after-conv13-msr
431,205,1.0,train,after-conv13-msr
432,205,1.0,train,after-conv13-msr
1,3,0.04,test,after-conv13-msr
2,5,0.06666666666666667,test,after-conv13-msr
3,9,0.12,test,after-conv13-msr
4,14,0.18666666666666668,test,after-conv13-msr
5,16,0.21333333333333335,test,after-conv13-msr
6,16,0.21333333333333335,test,after-conv13-msr
7,16,0.21333333333333335,test,after-conv13-msr
8,17,0.22666666666666666,test,after-conv13-msr
9,19,0.25333333333333335,test,after-conv13-msr
10,22,0.29333333333333333,test,after-conv13-msr
11,22,0.29333333333333333,test,after-conv13-msr
12,24,0.32,test,after-conv13-msr
13,26,0.3466666666666667,test,after-conv13-msr
14,27,0.36,test,after-conv13-msr
15,29,0.38666666666666666,test,after-conv13-msr
16,30,0.4,test,after-conv13-msr
17,31,0.41333333333333333,test,after-conv13-msr
18,32,0.4266666666666667,test,after-conv13-msr
19,34,0.4533333333333333,test,after-conv13-msr
20,34,0.4533333333333333,test,after-conv13-msr
21,35,0.4666666666666667,test,after-conv13-msr
22,35,0.4666666666666667,test,after-conv13-msr
23,36,0.48,test,after-conv13-msr
24,38,0.5066666666666667,test,after-conv13-msr
25,39,0.52,test,after-conv13-msr
26,40,0.5333333333333333,test,after-conv13-msr
27,41,0.5466666666666666,test,after-conv13-msr
28,42,0.56,test,after-conv13-msr
29,42,0.56,test,after-conv13-msr
30,43,0.5733333333333334,test,after-conv13-msr
31,45,0.6,test,after-conv13-msr
32,45,0.6,test,after-conv13-msr
33,45,0.6,test,after-conv13-msr
34,46,0.6133333333333333,test,after-conv13-msr
35,46,0.6133333333333333,test,after-conv13-msr
36,46,0.6133333333333333,test,after-conv13-msr
37,47,0.6266666666666667,test,after-conv13-msr
38,47,0.6266666666666667,test,after-conv13-msr
39,48,0.64,test,after-conv13-msr
40,49,0.6533333333333333,test,after-conv13-msr
41,49,0.6533333333333333,test,after-conv13-msr
42,49,0.6533333333333333,test,after-conv13-msr
43,49,0.6533333333333333,test,after-conv13-msr
44,49,0.6533333333333333,test,after-conv13-msr
45,50,0.6666666666666666,test,after-conv13-msr
46,50,0.6666666666666666,test,after-conv13-msr
47,50,0.6666666666666666,test,after-conv13-msr
48,52,0.6933333333333334,test,after-conv13-msr
49,52,0.6933333333333334,test,after-conv13-msr
50,52,0.6933333333333334,test,after-conv13-msr
51,53,0.7066666666666667,test,after-conv13-msr
52,53,0.7066666666666667,test,after-conv13-msr
53,53,0.7066666666666667,test,after-conv13-msr
54,53,0.7066666666666667,test,after-conv13-msr
55,53,0.7066666666666667,test,after-conv13-msr
56,54,0.72,test,after-conv13-msr
57,54,0.72,test,after-conv13-msr
58,54,0.72,test,after-conv13-msr
59,55,0.7333333333333333,test,after-conv13-msr
60,55,0.7333333333333333,test,after-conv13-msr
61,55,0.7333333333333333,test,after-conv13-msr
62,55,0.7333333333333333,test,after-conv13-msr
63,55,0.7333333333333333,test,after-conv13-msr
64,55,0.7333333333333333,test,after-conv13-msr
65,56,0.7466666666666667,test,after-conv13-msr
66,59,0.7866666666666666,test,after-conv13-msr
67,59,0.7866666666666666,test,after-conv13-msr
68,59,0.7866666666666666,test,after-conv13-msr
69,59,0.7866666666666666,test,after-conv13-msr
70,60,0.8,test,after-conv13-msr
71,61,0.8133333333333334,test,after-conv13-msr
72,62,0.8266666666666667,test,after-conv13-msr
73,62,0.8266666666666667,test,after-conv13-msr
74,62,0.8266666666666667,test,after-conv13-msr
75,63,0.84,test,after-conv13-msr
76,63,0.84,test,after-conv13-msr
77,63,0.84,test,after-conv13-msr
78,63,0.84,test,after-conv13-msr
79,63,0.84,test,after-conv13-msr
80,63,0.84,test,after-conv13-msr
81,63,0.84,test,after-conv13-msr
82,63,0.84,test,after-conv13-msr
83,63,0.84,test,after-conv13-msr
84,64,0.8533333333333334,test,after-conv13-msr
85,64,0.8533333333333334,test,after-conv13-msr
86,65,0.8666666666666667,test,after-conv13-msr
87,65,0.8666666666666667,test,after-conv13-msr
88,65,0.8666666666666667,test,after-conv13-msr
89,65,0.8666666666666667,test,after-conv13-msr
90,66,0.88,test,after-conv13-msr
91,66,0.88,test,after-conv13-msr
92,67,0.8933333333333333,test,after-conv13-msr
93,67,0.8933333333333333,test,after-conv13-msr
94,68,0.9066666666666666,test,after-conv13-msr
95,68,0.9066666666666666,test,after-conv13-msr
96,68,0.9066666666666666,test,after-conv13-msr
97,68,0.9066666666666666,test,after-conv13-msr
98,68,0.9066666666666666,test,after-conv13-msr
99,68,0.9066666666666666,test,after-conv13-msr
100,68,0.9066666666666666,test,after-conv13-msr
101,68,0.9066666666666666,test,after-conv13-msr
102,68,0.9066666666666666,test,after-conv13-msr
103,68,0.9066666666666666,test,after-conv13-msr
104,68,0.9066666666666666,test,after-conv13-msr
105,68,0.9066666666666666,test,after-conv13-msr
106,68,0.9066666666666666,test,after-conv13-msr
107,68,0.9066666666666666,test,after-conv13-msr
108,68,0.9066666666666666,test,after-conv13-msr
109,68,0.9066666666666666,test,after-conv13-msr
110,69,0.92,test,after-conv13-msr
111,69,0.92,test,after-conv13-msr
112,69,0.92,test,after-conv13-msr
113,69,0.92,test,after-conv13-msr
114,69,0.92,test,after-conv13-msr
115,69,0.92,test,after-conv13-msr
116,69,0.92,test,after-conv13-msr
117,69,0.92,test,after-conv13-msr
118,69,0.92,test,after-conv13-msr
119,69,0.92,test,after-conv13-msr
120,69,0.92,test,after-conv13-msr
121,69,0.92,test,after-conv13-msr
122,69,0.92,test,after-conv13-msr
123,69,0.92,test,after-conv13-msr
124,69,0.92,test,after-conv13-msr
125,69,0.92,test,after-conv13-msr
126,69,0.92,test,after-conv13-msr
127,69,0.92,test,after-conv13-msr
128,69,0.92,test,after-conv13-msr
129,69,0.92,test,after-conv13-msr
130,69,0.92,test,after-conv13-msr
131,69,0.92,test,after-conv13-msr
132,69,0.92,test,after-conv13-msr
133,70,0.9333333333333333,test,after-conv13-msr
134,70,0.9333333333333333,test,after-conv13-msr
135,70,0.9333333333333333,test,after-conv13-msr
136,70,0.9333333333333333,test,after-conv13-msr
137,70,0.9333333333333333,test,after-conv13-msr
138,70,0.9333333333333333,test,after-conv13-msr
139,70,0.9333333333333333,test,after-conv13-msr
140,70,0.9333333333333333,test,after-conv13-msr
141,70,0.9333333333333333,test,after-conv13-msr
142,70,0.9333333333333333,test,after-conv13-msr
143,70,0.9333333333333333,test,after-conv13-msr
144,70,0.9333333333333333,test,after-conv13-msr
145,70,0.9333333333333333,test,after-conv13-msr
146,70,0.9333333333333333,test,after-conv13-msr
147,70,0.9333333333333333,test,after-conv13-msr
148,70,0.9333333333333333,test,after-conv13-msr
149,70,0.9333333333333333,test,after-conv13-msr
150,70,0.9333333333333333,test,after-conv13-msr
151,70,0.9333333333333333,test,after-conv13-msr
152,70,0.9333333333333333,test,after-conv13-msr
153,70,0.9333333333333333,test,after-conv13-msr
154,70,0.9333333333333333,test,after-conv13-msr
155,70,0.9333333333333333,test,after-conv13-msr
156,71,0.9466666666666667,test,after-conv13-msr
157,71,0.9466666666666667,test,after-conv13-msr
158,71,0.9466666666666667,test,after-conv13-msr
159,71,0.9466666666666667,test,after-conv13-msr
160,71,0.9466666666666667,test,after-conv13-msr
161,71,0.9466666666666667,test,after-conv13-msr
162,71,0.9466666666666667,test,after-conv13-msr
163,71,0.9466666666666667,test,after-conv13-msr
164,71,0.9466666666666667,test,after-conv13-msr
165,71,0.9466666666666667,test,after-conv13-msr
166,71,0.9466666666666667,test,after-conv13-msr
167,71,0.9466666666666667,test,after-conv13-msr
